umur,setoran_per_minggu,murojaah_per_minggu,kehadiran,nilai_ujian,konsistensi,progress
14,0,6,90,50,0.0,lambat
16,7,3,72,66,1.0,sedang
18,6,3,63,59,0.86,lambat
18,6,7,74,84,0.86,sedang
18,0,0,85,75,0.0,lambat
14,0,2,100,77,0.0,lambat
14,1,5,78,84,0.14,lambat
18,3,2,80,66,0.43,lambat
14,0,1,64,89,0.0,lambat
13,3,6,97,65,0.43,lambat
17,1,2,75,68,0.14,lambat
18,7,6,89,74,1.0,sedang
15,6,3,52,88,0.86,lambat
12,8,0,77,92,1.14,sedang
14,4,4,65,74,0.57,lambat
15,0,3,87,79,0.0,lambat
14,0,6,85,59,0.0,lambat
13,7,4,55,82,1.0,lambat
12,3,1,97,80,0.43,lambat
14,2,1,78,65,0.29,lambat
13,2,3,75,84,0.29,lambat
15,5,4,80,54,0.71,sedang
15,5,6,58,86,0.71,lambat
12,11,4,58,71,1.57,lambat
16,3,3,73,77,0.43,lambat
12,3,4,85,73,0.43,lambat
12,4,2,76,80,0.57,sedang
18,4,5,71,61,0.57,sedang
14,2,3,93,74,0.29,lambat
13,7,3,79,78,1.0,sedang
13,9,7,99,79,1.29,sedang
12,0,0,100,72,0.0,lambat
17,7,0,53,81,1.0,lambat
14,0,0,100,64,0.0,lambat
16,6,2,99,82,0.86,sedang
14,3,1,89,50,0.43,lambat
14,5,3,73,92,0.71,sedang
14,5,5,73,82,0.71,sedang
15,2,1,84,61,0.29,lambat
13,6,0,87,91,0.86,sedang
13,4,2,77,79,0.57,sedang
17,5,2,100,76,0.71,sedang
17,4,1,61,55,0.57,lambat
12,3,8,97,85,0.43,lambat
12,6,6,87,73,0.86,sedang
12,3,4,71,83,0.43,lambat
15,4,6,75,90,0.57,sedang
15,5,0,88,71,0.71,sedang
17,8,2,67,71,1.14,lambat
14,0,2,93,70,0.0,lambat
17,7,5,70,56,1.0,sedang
12,11,4,66,91,1.57,lambat
17,0,3,86,69,0.0,lambat
18,2,5,74,84,0.29,lambat
17,7,4,79,86,1.0,sedang
15,5,4,87,91,0.71,sedang
14,5,3,88,85,0.71,sedang
18,4,1,97,73,0.57,sedang
12,5,6,75,68,0.71,sedang
12,5,6,68,53,0.71,lambat
16,1,3,50,71,0.14,lambat
15,5,3,73,71,0.71,sedang
17,7,6,100,70,1.0,sedang
14,6,2,74,69,0.86,sedang
12,7,1,59,64,1.0,lambat
14,7,5,75,64,1.0,sedang
17,4,2,59,72,0.57,lambat
14,2,3,95,77,0.29,lambat
17,0,8,65,82,0.0,lambat
18,3,7,64,100,0.43,lambat
16,6,5,65,61,0.86,lambat
13,1,5,59,62,0.14,lambat
16,2,2,67,84,0.29,lambat
16,2,2,72,50,0.29,lambat
12,7,5,92,67,1.0,sedang
15,7,4,85,76,1.0,sedang
16,4,6,100,79,0.57,sedang
17,8,6,78,66,1.14,sedang
16,5,3,66,85,0.71,lambat
17,3,6,74,66,0.43,lambat
15,1,6,83,86,0.14,lambat
14,6,7,75,71,0.86,sedang
18,4,5,81,86,0.57,sedang
15,0,4,78,55,0.0,lambat
13,3,5,70,66,0.43,lambat
14,4,6,73,82,0.57,sedang
16,3,3,66,60,0.43,lambat
16,6,5,96,80,0.86,sedang
16,11,1,95,50,1.57,sedang
14,5,3,93,66,0.71,sedang
15,6,1,95,66,0.86,sedang
16,6,3,65,63,0.86,lambat
17,4,6,67,70,0.57,lambat
16,6,3,90,80,0.86,sedang
18,4,2,70,94,0.57,sedang
16,0,5,97,89,0.0,lambat
16,5,5,70,82,0.71,sedang
12,0,3,71,79,0.0,lambat
16,2,2,72,100,0.29,lambat
12,7,2,100,85,1.0,sedang
14,3,4,61,62,0.43,lambat
16,8,3,81,78,1.14,sedang
18,8,1,78,77,1.14,sedang
17,1,2,82,81,0.14,lambat
12,9,6,100,76,1.29,sedang
12,9,2,96,91,1.29,cepat
14,5,3,73,75,0.71,sedang
14,6,5,98,71,0.86,sedang
15,1,6,79,83,0.14,lambat
14,3,5,85,63,0.43,lambat
15,3,2,77,65,0.43,lambat
14,8,5,72,64,1.14,sedang
14,0,4,82,87,0.0,lambat
17,0,4,67,100,0.0,lambat
12,3,5,74,76,0.43,lambat
14,4,3,76,93,0.57,sedang
16,7,2,72,92,1.0,sedang
17,1,2,100,81,0.14,lambat
17,1,0,96,74,0.14,lambat
15,4,3,84,78,0.57,sedang
18,9,6,100,68,1.29,sedang
13,2,1,83,62,0.29,lambat
17,5,4,54,86,0.71,lambat
16,3,4,91,73,0.43,lambat
16,7,1,96,64,1.0,sedang
16,5,4,89,84,0.71,sedang
12,7,3,78,70,1.0,sedang
18,6,0,85,53,0.86,sedang
15,7,6,73,81,1.0,sedang
12,2,3,59,87,0.29,lambat
